edad,sexo,Nivel_edu,size_localidad,Indigena,edu_madre,edu_padre,hermanos,ingreso,color_piel,region
28,2 Mujer,Posgrado,"Pueblo (menos de 2,500 habitantes)",No,Preparatoria general,Preparatoria general,2,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte
37,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,2,No quiso dar información,H,Sur
25,2 Mujer,Profesional,Metrópoli (más de 500 mil habitantes),No,Primaria,Secundaria general,3,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",H,Centro-norte
25,2 Mujer,Normal básica,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,4,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Norte-occidente
45,2 Mujer,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,10,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Centro
32,2 Mujer,Técnica o comercial con secundaria,Metrópoli (más de 500 mil habitantes),No,Profesional (licenciatura o ingeniería),Técnica o comercial con secundaria,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Norte
59,2 Mujer,Ninguno/no fue a la escuela,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,Primaria,4,"Menor a 1 salario mínimo ($0 – $2,399)",G,Sur
45,2 Mujer,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Profesional (licenciatura o ingeniería),Primaria,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Sur
50,1 Hombre,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Secundaria general,Primaria,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",E,Norte
35,1 Hombre,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Sur
43,2 Mujer,Secundaria técnica,Metrópoli (más de 500 mil habitantes),No,Primaria,Primaria,6,No quiso dar información,G,Norte
25,1 Hombre,Profesional,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Preparatoria general,Primaria,2,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",F,Norte-occidente
46,2 Mujer,Profesional,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Secundaria general,Técnica o comercial con secundaria,7,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",J,Norte-occidente
52,1 Hombre,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",No,Secundaria general,NS,7,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",G,Norte
38,1 Hombre,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,4,"Menor a 1 salario mínimo ($0 – $2,399)",D,Sur
45,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,7,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Sur
49,2 Mujer,Primaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Secundaria técnica,Primaria,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",D,Norte-occidente
42,1 Hombre,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,Primaria,5,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Sur
45,1 Hombre,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Preparatoria técnica,Secundaria técnica,1,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",F,Centro
41,2 Mujer,Técnica o comercial con preparatoria,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Preparatoria general,Preparatoria general,4,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Centro-norte
55,2 Mujer,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",Sí,,,9,No quiso dar información,H,Sur
47,2 Mujer,Preparatoria técnica,"Pueblo (menos de 2,500 habitantes)",No,,,5,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Centro-norte
27,2 Mujer,Preparatoria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",NS,,NS,2,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro
60,1 Hombre,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Centro
30,1 Hombre,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,,3,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",I,Centro
36,2 Mujer,Primaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,6,No quiso dar información,H,Centro-norte
29,2 Mujer,Profesional,"Pueblo (menos de 2,500 habitantes)",No,Secundaria general,Secundaria general,4,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",J,Centro-norte
47,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,2,"Igual a un salario mínimo ($2,400)",G,Sur
48,1 Hombre,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Preparatoria general,Primaria,7,"Menor a 1 salario mínimo ($0 – $2,399)",F,Centro
39,1 Hombre,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,,3,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",C,Centro-norte
60,2 Mujer,Técnica o comercial con preparatoria,Metrópoli (más de 500 mil habitantes),No,,,3,No quiso dar información,E,Norte
29,2 Mujer,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,6,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Sur
25,2 Mujer,Profesional,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Preparatoria general,Preparatoria general,3,"Igual a un salario mínimo ($2,400)",H,Sur
60,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,7,"Igual a un salario mínimo ($2,400)",H,Norte
48,1 Hombre,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),NS,,Primaria,1,NS,H,Centro
64,1 Hombre,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",No,,,11,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro-norte
35,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Centro-norte
36,2 Mujer,Posgrado,"Pueblo (menos de 2,500 habitantes)",No,,Preparatoria general,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte-occidente
60,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,11,"Menor a 1 salario mínimo ($0 – $2,399)",H,Norte
53,2 Mujer,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Preparatoria general,Preparatoria general,10,"Igual a un salario mínimo ($2,400)",H,Norte
62,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,11,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro-norte
52,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Norte-occidente
35,1 Hombre,Secundaria técnica,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Secundaria técnica,Secundaria general,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Norte-occidente
42,2 Mujer,Profesional,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,10,No quiso dar información,H,Norte
51,2 Mujer,Normal de licenciatura,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,,11,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Norte
32,2 Mujer,Secundaria técnica,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,,9,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Sur
35,1 Hombre,Profesional,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Secundaria general,Secundaria general,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Norte-occidente
29,2 Mujer,Secundaria técnica,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,NS,Profesional (licenciatura o ingeniería),3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Norte
46,2 Mujer,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",No,,,12,"Menor a 1 salario mínimo ($0 – $2,399)",F,Sur
61,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,Profesional (licenciatura o ingeniería),NS,19,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Norte-occidente
51,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,Primaria,10,"Igual a un salario mínimo ($2,400)",H,Norte
36,2 Mujer,Preparatoria general,Metrópoli (más de 500 mil habitantes),No,,Secundaria general,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Centro
53,2 Mujer,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,5,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",H,Centro
39,2 Mujer,Preparatoria técnica,Metrópoli (más de 500 mil habitantes),No,Secundaria general,Primaria,2,No quiso dar información,G,Centro
37,2 Mujer,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",No,,Primaria,7,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Norte
25,1 Hombre,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",No,Secundaria general,Primaria,2,"Menor a 1 salario mínimo ($0 – $2,399)",G,Centro
25,2 Mujer,Preparatoria general,Metrópoli (más de 500 mil habitantes),No,NS,,3,NS,H,Norte
39,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,7,"Menor a 1 salario mínimo ($0 – $2,399)",F,Sur
42,2 Mujer,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),NS,,,4,"Menor a 1 salario mínimo ($0 – $2,399)",H,Centro
45,1 Hombre,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,7,"Menor a 1 salario mínimo ($0 – $2,399)",G,Sur
47,2 Mujer,Preparatoria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,9,"Igual a un salario mínimo ($2,400)",H,Centro
54,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,9,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro-norte
54,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,,13,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte
47,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,14,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",C,Centro-norte
64,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",Sí,,,5,"Menor a 1 salario mínimo ($0 – $2,399)",G,Sur
64,2 Mujer,Primaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,Primaria,13,"Igual a un salario mínimo ($2,400)",G,Centro-norte
52,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,8,"Menor a 1 salario mínimo ($0 – $2,399)",H,Centro
55,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,9,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",I,Centro-norte
45,2 Mujer,Preparatoria general,Metrópoli (más de 500 mil habitantes),No,Primaria,Secundaria general,2,No quiso dar información,I,Centro
45,2 Mujer,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,,5,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Norte
44,2 Mujer,Normal de licenciatura,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,8,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Sur
60,2 Mujer,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),NS,Secundaria general,Profesional (licenciatura o ingeniería),4,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Sur
35,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,NS,NS,9,"Igual a un salario mínimo ($2,400)",F,Sur
30,2 Mujer,Profesional,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Secundaria general,Secundaria general,2,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Centro-norte
63,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,4,"Menor a 1 salario mínimo ($0 – $2,399)",F,Sur
42,1 Hombre,Normal de licenciatura,Ciudad grande (entre 100 mil y 500 mil habitantes),NS,,Primaria,2,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Norte-occidente
29,2 Mujer,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),Sí,,,11,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Sur
31,2 Mujer,Secundaria técnica,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Sur
54,1 Hombre,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,2,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",I,Centro
56,1 Hombre,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,Primaria,16,No quiso dar información,H,Sur
29,1 Hombre,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",Sí,Primaria,,2,"Menor a 1 salario mínimo ($0 – $2,399)",E,Sur
26,2 Mujer,Preparatoria general,Metrópoli (más de 500 mil habitantes),No,Secundaria general,Primaria,2,No quiso dar información,G,Centro
40,2 Mujer,Secundaria técnica,Metrópoli (más de 500 mil habitantes),No,,Primaria,6,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",F,Norte
61,2 Mujer,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,Primaria,4,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",H,Centro
52,2 Mujer,Primaria,Ciudad grande (entre 100 mil y 500 mil habitantes),Sí,,,4,No quiso dar información,H,Centro
57,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,12,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte-occidente
38,2 Mujer,Secundaria técnica,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Secundaria general,Secundaria general,2,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Centro
34,1 Hombre,Posgrado,"Pueblo (menos de 2,500 habitantes)",Sí,,Primaria,5,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",F,Centro-norte
31,1 Hombre,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Preparatoria general,Secundaria general,3,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Sur
62,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,NS,9,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Norte-occidente
44,2 Mujer,Secundaria técnica,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,2,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Centro
26,1 Hombre,Profesional,Metrópoli (más de 500 mil habitantes),No,Profesional (licenciatura o ingeniería),Profesional (licenciatura o ingeniería),3,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",G,Centro
47,1 Hombre,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),Sí,,,2,No quiso dar información,G,Centro
50,2 Mujer,Técnica o comercial con secundaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,Primaria,7,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Centro-norte
31,1 Hombre,Primaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),NS,,,3,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Centro-norte
57,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,1,"Igual a un salario mínimo ($2,400)",F,Centro
64,2 Mujer,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),NS,,,9,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",I,Norte
54,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",NS,,,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Centro
30,2 Mujer,Profesional,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,,2,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",J,Sur
50,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",NS,,,1,No quiso dar información,H,Centro-norte
46,2 Mujer,Secundaria técnica,Ciudad grande (entre 100 mil y 500 mil habitantes),NS,,,2,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Sur
64,1 Hombre,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",No,Primaria,,8,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",G,Sur
63,1 Hombre,Primaria,Metrópoli (más de 500 mil habitantes),No,Primaria,Primaria,4,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Centro-norte
39,2 Mujer,Ninguno/no fue a la escuela,"Pueblo (menos de 2,500 habitantes)",No,,,4,"Igual a un salario mínimo ($2,400)",H,Sur
27,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",Sí,,,5,"Igual a un salario mínimo ($2,400)",G,Centro-norte
49,2 Mujer,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,1,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Sur
33,1 Hombre,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,10,"Igual a un salario mínimo ($2,400)",F,Centro-norte
35,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,Primaria,3,"Menor a 1 salario mínimo ($0 – $2,399)",F,Norte
31,1 Hombre,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,10,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte
42,1 Hombre,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),Sí,,,3,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",H,Norte
59,1 Hombre,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,,8,No quiso dar información,H,Centro-norte
27,1 Hombre,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Norte-occidente
28,2 Mujer,Secundaria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,Primaria,7,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro-norte
38,2 Mujer,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Secundaria general,Secundaria general,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro
52,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,3,"Igual a un salario mínimo ($2,400)",F,Norte
61,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",Sí,,,5,"Menor a 1 salario mínimo ($0 – $2,399)",I,Centro
43,2 Mujer,Preparatoria general,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Normal de licenciatura,NS,5,NS,G,Norte
28,2 Mujer,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",No,Secundaria general,Primaria,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Centro-norte
33,1 Hombre,Preparatoria general,Metrópoli (más de 500 mil habitantes),No,Secundaria general,Preparatoria técnica,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Centro
35,2 Mujer,Primaria,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,8,No quiso dar información,H,Norte-occidente
25,2 Mujer,Preparatoria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,NS,Primaria,7,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Sur
30,1 Hombre,Profesional,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Normal de licenciatura,6,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Sur
49,1 Hombre,Profesional,Metrópoli (más de 500 mil habitantes),No,Secundaria general,Primaria,4,No quiso dar información,G,Centro
26,1 Hombre,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",Sí,Primaria,,1,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Centro-norte
41,1 Hombre,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Técnica o comercial con secundaria,4,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte
35,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,1,"Menor a 1 salario mínimo ($0 – $2,399)",H,Sur
56,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,NS,NS,8,"Igual a un salario mínimo ($2,400)",H,Norte-occidente
33,2 Mujer,Secundaria técnica,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,,4,"Menor a 1 salario mínimo ($0 – $2,399)",F,Centro-norte
41,1 Hombre,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",NS,,,8,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro
60,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,13,"Menor a 1 salario mínimo ($0 – $2,399)",F,Norte-occidente
28,2 Mujer,Primaria,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,,,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",H,Norte-occidente
26,2 Mujer,Profesional,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Preparatoria general,Secundaria general,2,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",J,Centro
26,1 Hombre,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Postgrado (maestría o doctorado),Profesional (licenciatura o ingeniería),2,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",I,Sur
34,1 Hombre,Secundaria técnica,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Primaria,3,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",F,Centro
36,1 Hombre,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Preparatoria general,Secundaria general,3,No quiso dar información,H,Norte
29,2 Mujer,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,Preparatoria general,3,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",B,Centro
60,1 Hombre,Profesional,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Primaria,Primaria,8,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",G,Norte
28,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,Secundaria general,Secundaria general,5,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro-norte
58,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,9,No quiso dar información,H,Centro-norte
63,2 Mujer,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),NS,,,8,NS,H,Norte-occidente
27,1 Hombre,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",No,Profesional (licenciatura o ingeniería),Primaria,4,No quiso dar información,G,Centro-norte
43,2 Mujer,Secundaria general,"Pueblo (menos de 2,500 habitantes)",No,,Primaria,6,"Igual a un salario mínimo ($2,400)",F,Centro-norte
55,1 Hombre,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,,8,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro-norte
34,2 Mujer,Profesional,Metrópoli (más de 500 mil habitantes),No,Preparatoria general,Preparatoria general,4,"Más de 5 salarios mínimos hasta 10 ($12,001 – $24,000)",J,Centro
62,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,8,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro-norte
39,2 Mujer,Secundaria técnica,"Pueblo (menos de 2,500 habitantes)",No,,,1,"Menor a 1 salario mínimo ($0 – $2,399)",H,Sur
60,2 Mujer,Secundaria técnica,"Pueblo (menos de 2,500 habitantes)",No,,,6,"Igual a un salario mínimo ($2,400)",G,Sur
27,1 Hombre,Secundaria técnica,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,,,5,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Centro
55,2 Mujer,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),NS,,,10,"Menor a 1 salario mínimo ($0 – $2,399)",G,Centro
53,2 Mujer,Secundaria técnica,"Pueblo (menos de 2,500 habitantes)",No,,,7,No quiso dar información,H,Centro
31,2 Mujer,Técnica o comercial con secundaria,"Pueblo (menos de 2,500 habitantes)",No,Preparatoria general,Preparatoria general,2,"Más de 3 salarios mínimos hasta 5 ($7,201 – $12,000)",H,Sur
29,1 Hombre,Profesional,Metrópoli (más de 500 mil habitantes),No,Profesional (licenciatura o ingeniería),Profesional (licenciatura o ingeniería),2,No quiso dar información,G,Centro
40,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",No,,,9,"Menor a 1 salario mínimo ($0 – $2,399)",F,Sur
50,2 Mujer,Preparatoria general,"Pueblo (menos de 2,500 habitantes)",No,,,6,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",F,Norte-occidente
35,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,Primaria,5,"Igual a un salario mínimo ($2,400)",H,Centro-norte
49,2 Mujer,Posgrado,Ciudad mediana (entre 15 mil y 100 mil habitantes),No,Secundaria general,Preparatoria general,3,"Más de 10 salarios mínimos ($24,001 o más)",I,Norte-occidente
28,2 Mujer,Secundaria general,"Ciudad chica (entre 2,500 y 15 mil habitantes)",No,Primaria,NS,2,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Centro-norte
55,2 Mujer,Preparatoria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,,,3,NS,G,Sur
52,1 Hombre,Primaria,"Pueblo (menos de 2,500 habitantes)",No,Primaria,Primaria,12,"Más de 1 salario mínimo hasta 2 ($2,401 – $4,800)",G,Norte-occidente
41,2 Mujer,Primaria,"Pueblo (menos de 2,500 habitantes)",Sí,Primaria,Primaria,9,"Igual a un salario mínimo ($2,400)",G,Centro-norte
43,2 Mujer,Secundaria general,Ciudad grande (entre 100 mil y 500 mil habitantes),No,Primaria,Secundaria técnica,3,"Menor a 1 salario mínimo ($0 – $2,399)",F,Norte-occidente
25,2 Mujer,Secundaria técnica,"Pueblo (menos de 2,500 habitantes)",No,,,3,"Igual a un salario mínimo ($2,400)",G,Norte
35,2 Mujer,Profesional,"Ciudad chica (entre 2,500 y 15 mil habitantes)",NS,,,1,"Más de 2 salarios mínimos hasta 3 ($4,801 – $7,200)",G,Sur
