objetivo,p05,p06,p09_1,p10_1,estatura,p21,p23,p24,p28,p38_11,p43,p38m_11,p43m,p60,p61,p64,p86,p87,p98,p122,p131,p132,p142,p143,p144,p151,region,escolaridadh,indigena,X4,probit_pred,count
6,32,2,5,4,148,70,11,4,4,63,2,61,2,3,3,16,50,3,18,5,0,1,18,2,19,9,4,9,0,6,5,0
3,39,1,1,1,165,89,28,4,1,65,2,71,8,4,2,14,46,0,18,2,0,1,20,5,20,7,1,8,0,3,1,0
10,59,1,1,1,175,70,1,3,5,71.321976,12,67.737869,6,2,1,15,9,27,18,5,1,2,23,2,24,9,4,9,0,10,10,0
4,42,1,1,1,170,92,25,5,3,64,2,62,2,7,1,15,64,18,16,5,1,1,22,2,23,6,2,12,0,6,5,2
4,39,1,8,8,180,115,30,3,6,74,2,56,2,3,1,17,70,20,20,5,0,1,35,1,36,6,5,11,0,6,5,2
10,26,2,2,2,165,80,6,4,8,68,6,63,5,2,1,22,30,4,22,5,1,3,21.55405,2.6724489,22.825521,10,3,17,0,10,10,0
1,34,1,1,1,160,60,24,5,2,78,2,71,2,10,4,16,56,0,12,1,0,1,27,2,27,6,3,9,0,1,1,0
10,32,2,1,1,160,55,15,2,7,58,2,51,5,3,3,15,36,0,15,6,1,2,27,1,32,10,3,12,0,9,10,-1
1,29,1,7,4,185,78,20,3,3,60,6,54,2,3,2,14,48,9,15,3,0,4,29,2.6724489,22.825521,6,5,9,0,2,1,1
8,44,2,4,8,160,70,15,1,4,97,2,80,2,6,4,14,73,23,14,8,1,1,21.55405,2,19,8,4,9,0,8,9,0
3,52,1,4,8,172,82,15,1,2,78,2,56,2,8,4,12,40,0,15,3,0,1,36,1,37,7,4,6,0,1,1,-2
8,29,2,1,1,153,59,31,3,5,59,11,53,5,5,4,22,20,1,19,3,2,1,21,2,22,7,5,14,0,10,10,2
6,31,2,5,4,153,75,9,2,1,55,5,54,2,3,2,16.588694,50,17,15,5,1,3,21.55405,1,22,4,4,13,0,8,9,2
7,36,1,7,4,152,75,30,4,4,58,10,52,4,6,1,24,42,0,20,2,0,1,30,2,26,7,5,15,0,2,1,-5
4,28,1,4,8,173,78,27,5,2,64,4,64,2,2,2,16,60,1,17,3,0,2,17,3,18,6,5,9,0,2,1,-2
8,37,2,2,2,145,56,22,3,3,55,6,58,11,3,3,22,48,17,23,3,2,2,28,2.6724489,22.825521,9,4,16,0,10,10,2
8,30,2,1,1,157,59,24,2,3,63,2,52,7,2,2,20,48,0,18,4,1,3,20,2,20,7,3,12,0,9,10,1
4,63,1,1,1,152,59,20,5,3,97,2,97,2,12,9,14,40,17,15,4,0,1,33,4,34,7,5,6,0,1,1,-3
6,45,1,1,1,170,93,16,4,4,71.321976,98,67.737869,98,8,5,18,60,19,19,5,1,1,28,4,29,8,4,12,0,10,10,4
7,45,2,1,1,150,67,13,5,5,76,2,63,2,10,3,12,40,1,14,5,1,1,21,3,22,8,4,6,0,6,5,-1
7,26,1,8,8,180,85,9,2,6,56,4,57,2,5,4,18,54,0,17,6,1,3,21.55405,2.6724489,22.825521,8,4,12,0,9,10,2
8,56,1,3,3,178,100,30,2,4,84,2,78,2,9,4,26,48,14,17,3,1,1,25,3,26,6,5,17,0,9,10,1
9,30,1,1,1,176,80,15,5,5,53,6,52,10,2,1,22,40,7,20,4,0,1,18,2,23,7,4,15,0,8,9,-1
9,35,1,1,1,160,70,14,4,4,51,10,52,6,5,1,16.588694,40,1,8,4,1,2,21.55405,2.6724489,22.825521,8,3,16,0,9,10,0
6,29,2,1,1,153,62,24,1,2,57,2,48,4,3,1,23,48,9,23,5,0,2,25,1,26,7,3,15,0,8,9,2
10,52,2,8,8,147,58,30,3,5,79,4,72,4,3,1,23,9,3,25,4,1,2,26,1,36,8,4,17,0,9,10,-1
10,30,2,7,8,165,60,15,2,8,58,11,56,11,2,1,22,40,6,24,8,3,3,21.55405,2.6724489,22.825521,9,4,16,0,10,10,0
2,48,1,4,4,170,82,12,5,1,68,2,67,2,5,1,14,56,38,9,4,1,1,21,4,22,11,5,8,0,1,1,-1
7,51,1,1,1,165,65,9,2,13,78,4,78,2,11,5,23,40,15,17,7,1,2,23,3,26,8,4,15,0,10,10,3
6,25,2,5,4,172,55,14,5,4,65,98,53,2,2,1,12,15,2,13,4,0,2,21.55405,3,15,8,3,6,0,2,1,-4
9,50,1,8,8,186,76,14,1,6,81,11,81,2,9,6,25,40,7,18,5,2,2,26,3,27,7,3,15,0,10,10,1
3,28,2,1,1,156,57,15,4,5,50,4,48,4,3,1,16.588694,60,4,24,5,0,1,21.55405,2.6724489,22.825521,8,4,16,0,8,9,5
8,44,1,1,1,160,70,17,3,4,67,4,64,7,5,3,18,60,2,14,5,0,1,21.55405,1,27,9,4,12,0,9,10,1
6,37,1,8,8,175,80,15,2,3,58,2,57,2,4,2,15,50,21,15,7,0,1,17,3,17,7,4,9,0,6,5,0
6,37,1,2,2,158,62,15,3,5,71,2,68,3,3,2,22,40,17,15,1,0,1,15,2,16,6,4,17,0,6,5,0
6,37,1,8,8,175,80,15,2,3,58,2,57,2,4,2,15,50,21,15,7,0,1,17,3,17,7,4,9,0,6,5,0
6,52,1,4,4,160,70,16,5,4,97,2,94,2,9,6,14,84,6,15,4,0,1,32,1,36,8,3,9,0,2,1,-4
9,36,1,8,8,170,80,19,2,5,66,2,67,2,7,6,15,60,21,15,6,1,1,22,3,22,6,1,9,0,6,5,-3
10,26,1,8,8,170,65,15,1,3,55,2,53,2,4,4,26,48,2,17,3,0,4,22,2.6724489,22.825521,6,4,11,0,3,1,-7
8,56,2,5,4,153,62,9,1,1,83,11,74,9,4,1,11,5,1,22,5,0,5,15,4,15,8,4,5,0,9,10,1
10,46,1,1,1,170,72,18,4,3,78,2,68,2,5,3,15,46,5,15,4,2,1,26,1,43,7,2,9,0,9,10,-1
2,37,2,1,1,156,72,26,5,3,59,2,55,2,4,3,15,56,21,18,3,1,1,20,1,21,7,1,9,1,6,5,4
5,35,1,11,8,178,86,28,4,3,59,2,59,2,4,3,18,72,13,17,3,1,1,20,3,22,8,1,12,0,6,5,1
4,35,1,4,1,165,75,21,4,2,70,2,64,2,4,1,18,56,7,18,4,0,2,18,4,19,4,4,12,0,6,5,2
10,57,2,7,6,150,71,21,2,5,90,2,90,4,5,3,24,10,6,17,4,1,1,25,2,30,6,4,18,0,10,10,0
9,47,2,1,1,159,78,32,4,5,69,2,70,2,6,4,17,48,7,19,5,1,3,21.55405,1,28,8,2,11,0,9,10,0
2,50,2,4,4,150,61,30,3,3,75,2,72,2,6,5,24,40,12,24,3,0,1,21.55405,2.6724489,22.825521,8,5,12,0,2,1,0
5,42,1,6,8,166,72,15,3,5,60,3,60,3,6,6,18,24,7,18,4,0,2,30,1,33,7,3,12,0,6,5,1
10,29,1,1,1,185,83,15,2,5,61,2,53,2,2,1,25,60,3,26,5,1,2,27,2,28,8,4,17,0,10,10,0
4,55,1,8,8,155,89,28,5,3,77,2,77,2,4,2,12,72,2,20,4,0,3,25,4,26,8,1,6,0,3,1,-1
8,48,1,1,1,170,75,28,3,3,69,2,66,2,6,2,13,48,7,15,4,1,1,26,1,28,7,1,6,0,6,5,-2
8,46,2,1,1,162,68,19,1,3,90,2,85,2,15,14,14,18,1,16,6,1,1,30,2,33,8,1,9,0,9,10,1
5,42,1,6,8,166,72,15,3,5,60,3,60,3,6,6,18,24,7,18,4,0,2,30,1,33,7,3,12,0,6,5,1
4,53,1,9,8,187,95,30,1,3,90,2,84,2,17,5,21,30,11,17,3,1,1,23,1,25,8,5,14,0,2,1,-2
9,42,2,8,8,165,90,14,2,4,66,2,72,2,5,3,16,35,1,17,5,0,4,21.55405,2.6724489,22.825521,7,3,9,0,6,5,-3
1,28,1,5,4,170,78,15,4,4,54,5,50,4,2,1,23,40,3,18,2,0,2,20,1,27,7,4,15,0,2,1,1
1,32,2,7,4,150,65,9,3,3,72,2,55,4,4,2,11,10,1,12,2,0,1,24,2,29,7,4,6,0,2,1,1
2,29,2,5,8,154,65,19,4,5,53,3,52,2,6,4,10,60,0,18,5,1,4,14,1,14,8,1,0,0,6,5,4
8,40,2,1,1,167,75,8,3,5,65,3,60,2,3,1,18,48,5,30,5,1,2,18,2,18,7,1,12,0,9,10,1
8,33,1,1,1,172,92,5,3,4,56,4,52,4,4,1,18,50,16,18,5,1,2,25,1,29,9,1,12,0,10,10,2
10,35,1,8,1,182,98,14,2,4,61,4,59,2,4,1,29,40,7,18,4,1,2,31,1,32,6,3,17,0,10,10,0
10,45,1,2,2,180,96,24,1,5,78,11,73,11,5,2,24,40,19,26,4,1,1,26,2,26,8,3,17,0,10,10,0
5,34,1,5,4,162,70,31,2,5,63,4,56,4,4,1,16,60,14,9,5,1,2,21.55405,2.6724489,22.825521,7,5,9,0,8,9,3
2,40,1,1,1,180,85,15,4,3,82,2,80,2,2,2,17,60,14,17,3,0,1,21.55405,2.6724489,22.825521,7,4,9,1,6,5,4
8,34,1,1,1,180,85,30,2,2,71.321976,6,63,5,1,1,26,40,7,24,3,0,1,30,1,31,7,5,17,0,9,10,1
7,28,1,7,4,181,78,21,4,7,55,11,52,11,1,1,18,30,17,12,7,0,2,19,2,18,6,4,12,0,9,10,2
9,29,2,1,1,169,62,30,5,4,59,2,58,2,3,3,26,25,9,20,4,0,1,21.55405,2.6724489,22.825521,7,5,17,0,6,5,-3
9,25,1,5,1,157,62,31,3,4,55,2,53,3,1,1,23,40,7,15,3,0,2,21.55405,2.6724489,22.825521,7,5,16,1,8,9,-1
10,38,1,6,1,187,98,28,3,2,63,4,63,2,3,3,17,48,10,18,3,0,1,27,2.6724489,22.825521,8,1,12,0,8,9,-2
10,25,1,7,8,180,78,15,3,6,55,11,55,6,2,2,22,40,2,23,7,1,2,21.55405,2.6724489,22.825521,10,4,16,0,10,10,0
4,28,1,1,1,180,98,19,1,5,60,10,55,6,3,2,19,134,2,18,5,0,3,22,2.6724489,22.825521,8,1,12,0,10,10,6
7,30,2,1,1,160,85,22,4,4,71.321976,98,52,7,4,3,17,50,8,19,4,0,2,17,2,18,7,4,9,0,6,5,-1
3,41,1,10,8,176,88,16,3,4,66,3,66,2,1,1,21,21,7,14,5,1,2,25,1,36,7,3,10,0,8,9,5
5,26,2,98,8,150,65,10,2,4,50,2,47,2,4,3,12,28,1,12,3,0,1,16,1,18,7,2,6,0,2,1,-3
8,62,1,1,1,175,85,14,1,7,95,2,97,2,9,5,21,20,2,21,6,0,1,23,5,27,6,3,15,0,9,10,1
7,46,2,1,1,162,70,8,1,4,68,4,74,2,4,2,20,48,10,36,5,2,2,23,2.6724489,22.825521,8,1,9,0,10,10,3
4,33,2,1,1,150,60,28,1,3,53,2,50,2,6,1,24,40,2,27,5,0,2,30,2.6724489,22.825521,8,1,17,0,8,9,4
6,47,2,1,1,155,64,16,5,3,85,2,77,2,1,1,12,5,33,14,4,1,2,17,8,18,6,3,6,0,6,5,0
5,47,1,1,1,155,68,25,4,5,71.321976,98,67.737869,98,8,6,15,50,11,15,3,0,1,27,3,28,7,1,9,0,3,1,-2
7,54,2,8,98,165,70,11,2,6,86,98,67.737869,2,6,6,14,4,27,24,9,1,2,21.55405,2.6724489,22.825521,8,4,9,0,10,10,3
3,56,2,5,4,168,70,2,2,4,89,2,60,2,13,8,12,25,5,18,3,0,1,20,2,22,9,1,6,0,3,1,0
9,43,1,7,6,158,68,15,3,4,68,2,60,2,8,1,18,48,17,21,6,2,2,18,2,21,8,4,10,0,9,10,0
5,32,1,4,4,165,73,30,5,3,61,2,58,2,3,2,18,70,3,20,4,1,1,26,1,23,7,5,12,0,3,1,-2
3,36,1,7,4,158,72,30,5,2,61,2,67.737869,2,3,3,18,40,22,10,2,1,1,24,2,25,7,5,11,0,2,1,-1
10,36,1,7,8,175,70,9,1,5,60,6,59,4,1,1,18,50,5,22,5,1,1,25,2,26,8,4,16,0,10,10,0
2,37,1,5,4,160,85,20,5,1,63,2,53,2,12,3,15,60,17,18,4,0,1,21,3,22,7,5,6,1,1,1,-1
6,35,2,11,8,160,90,15,3,5,80,2,60,5,9,4,18,60,6,18,4,0,1,21.55405,2,28,8,4,9,0,4,1,-2
5,57,1,1,1,172,83,14,3,4,87,2,74,2,7,4,18,48,2,17,4,1,1,20,3,22,7,3,12,0,9,10,4
10,41,1,7,6,155,75,15,3,4,71,4,70,3,5,3,22,60,23,18,4,1,2,21.55405,2.6724489,22.825521,6,4,12,1,10,10,0
8,44,1,1,1,160,70,17,3,4,67,4,64,7,5,3,18,60,2,14,5,0,1,21.55405,1,27,9,4,12,0,9,10,1
6,42,2,8,8,162,80,32,5,4,85,2,75,2,4,4,15,28,2,40,4,0,1,25,2,27,7,2,9,0,6,5,0
8,60,1,2,2,180,85,5,4,5,71.321976,2,84,7,6,3,25,8,3,24,5,1,2,25,3,26,7,1,15,0,9,10,1
10,28,2,1,1,170,65,22,5,4,56,6,54,6,5,3,19,40,1,18,3,0,4,25,2.6724489,22.825521,8,4,12,1,9,10,-1
1,29,1,5,4,152,64,12,2,1,71.321976,2,62,2,4,2,18,40,12,18,1,0,1,18,2,19,7,5,9,0,1,1,0
9,25,1,1,1,190,98,8,3,11,51,6,51,11,3,1,16.588694,40,2,19,4,2,1,19,1,20,10,1,15,0,10,10,1
10,28,1,7,1,190,86,5,3,5,58,2,60,2,3,1,18,48,1,18,3,1,2,21.55405,2.6724489,22.825521,8,1,12,0,8,9,-2
10,62,1,7,8,168,73,15,3,6,71.321976,98,67.737869,98,3,2,23,50,37,24,8,3,3,22,1,22,8,4,16,0,10,10,0
2,52,1,5,4,155,60,28,5,2,68,2,64,2,8,5,16,56,0,12,3,0,1,28,2,31,7,1,8,0,1,1,-1
8,30,2,1,1,157,59,24,2,3,63,2,52,7,2,2,20,48,0,18,4,1,3,20,2,20,7,3,12,0,9,10,1
10,36,2,7,6,155,63,9,1,5,61,11,63,11,5,2,22,40,10,26,4,1,2,21.55405,2.6724489,22.825521,6,4,15,0,10,10,0
6,25,1,7,1,168,77,14,2,5,50,2,53,4,2,1,16.588694,72,5,14,5,0,2,21.55405,2.6724489,22.825521,8,3,15,0,8,9,2
7,59,2,1,6,154,68,10,5,3,92,2,92,2,7,4,12,30,6,52,2,1,1,15,8,16,7,2,6,0,8,9,1
5,35,1,1,1,163,70,6,4,4,72,2,57,6,3,1,19,48,16,19,4,0,2,21.55405,2.6724489,22.825521,7,3,12,0,8,9,3
5,40,2,1,1,158,55,11,3,6,71.321976,2,67.737869,4,4,3,16,7,11,25,5,0,1,21.55405,2.6724489,22.825521,8,4,9,0,8,9,3
10,34,1,1,1,154,64,20,2,3,76,10,78,4,4,2,24,40,5,22,5,1,2,21,2,22,7,5,16,0,8,9,-2
10,57,2,1,1,169,71,15,2,3,84,7,87,2,2,1,18,48,34,24,4,0,2,17,4,18,5,4,12,0,9,10,-1
8,35,1,1,1,169,89,21,1,4,68,2,65,2,3,1,22,60,5,13,5,0,2,21,1,22,4,4,12,0,8,9,0
5,44,1,1,8,163,73,29,3,3,71.321976,4,67.737869,2,5,3,15,42,5,17,3,1,2,19,3,20,8,4,9,0,2,1,-3
3,47,1,1,1,160,70,15,4,3,69,2,68,2,4,1,16,90,5,17,3,0,1,21.55405,2.6724489,22.825521,7,4,9,0,3,1,0
3,36,1,1,1,175,80,28,4,2,70,2,67,2,4,1,16.588694,10,22,12,4,1,2,18,2.6724489,22.825521,6,1,6,0,6,5,3
9,42,1,7,8,165,68,21,2,8,68,6,67,4,3,2,29,60,11,18,3,1,1,30,3,33,6,4,18,0,9,10,0
1,39,1,5,4,150,65,30,5,4,70,2,62,2,11,2,12,48,13,12,3,0,1,20,2.6724489,22.825521,6,5,2,0,1,1,0
2,34,2,1,1,161,63,5,3,6,60,2,57,4,7,4,15,48,0,17,5,0,2,19,4,20,8,1,9,0,6,5,4
10,25,1,5,4,170,80,28,2,6,42,2,51,10,2,2,17,48,1,12,6,0,2,21.55405,2.6724489,22.825521,8,1,11,0,6,5,-4
10,43,2,7,8,160,72,14,1,5,79,2,79,2,8,4,20,10,7,30,5,1,2,19,4,20,8,3,12,0,9,10,-1
7,45,2,8,8,161,74,14,2,6,65,4,66,2,6,1,15,50,17,26,3,0,2,21.55405,3,20,8,3,9,0,6,5,-1
5,25,1,8,8,178,81,13,5,5,51,4,50,2,2,1,19,48,6,19,3,0,1,19,2,23,7,4,12,0,4,1,-1
7,35,1,1,1,170,60,8,2,6,71.321976,2,67.737869,10,2,2,25,50,4,15,9,3,1,27,2,27,6,1,16,0,10,10,3
10,28,1,7,1,190,86,5,3,5,58,2,60,2,3,1,18,48,1,18,3,1,2,21.55405,2.6724489,22.825521,8,1,12,0,8,9,-2
8,35,1,2,2,173,80,26,3,4,63,11,53,8,4,2,22,40,5,20,5,1,3,21.55405,2.6724489,22.825521,7,1,17,0,10,10,2
7,33,2,1,1,173,90,8,2,5,67,2,65,2,5,5,13,20,2,13,5,0,2,21.55405,1,31,6,1,9,0,6,5,-1
10,38,1,7,1,165,74,30,2,4,67,6,65,3,3,3,25,30,13,16,6,1,2,24,1,36,9,5,16,0,10,10,0
2,55,1,1,8,187,90,25,4,2,71.321976,2,67.737869,2,6,4,23,45,14,23,4,1,3,23,1,24,9,2,17,0,9,10,7
7,25,2,5,4,145,65,4,4,3,50,2,45,3,3,3,18,46,1,24,8,0,2,22,1,22,8,5,12,1,9,10,2
7,45,2,11,8,172,58,9,2,5,71.321976,2,74,2,4,4,23,58,2,22,8,1,3,32,2.6724489,22.825521,8,4,16,0,10,10,3
2,35,2,1,1,155,55,15,2,4,54,2,50,2,3,1,15,78,1,15,5,0,2,19,3,20,7,4,9,0,6,5,4
4,40,1,5,8,187,87,17,5,4,71.321976,2,65,2,5,3,16,70,4,17,5,1,2,21.55405,2.6724489,22.825521,6,4,8,0,4,1,0
10,29,2,2,2,159,55,15,4,4,56,6,48,6,3,1,23,40,4,25,5,2,2,21.55405,2.6724489,22.825521,7,4,17,0,10,10,0
9,34,1,2,2,178,83,16,3,6,66,11,70,2,4,2,25,55,0,21,5,2,2,29,1,31,6,3,18,0,10,10,1
7,28,2,1,1,162,59,8,5,3,49,2,50,2,5,2,15,40,8,18,4,0,1,18,3,18,8,1,9,0,3,1,-4
3,35,2,8,8,150,55,21,5,4,58,2,67.737869,2,7,1,15,60,17,10,4,1,2,28,2,19,8,4,8,0,2,1,-1
9,47,1,5,4,173,100,2,4,9,71.321976,2,69,2,3,2,16,48,30,18,5,2,1,21.55405,2.6724489,22.825521,5,1,9,0,9,10,0
10,48,1,1,1,175,80,8,2,7,76,11,77,2,7,3,30,50,8,23,8,3,1,23,3,23,10,1,18,0,10,10,0
10,49,1,7,6,172,104,26,4,5,79,2,69,3,4,2,18,52,20,18,5,2,1,20,2,22,8,1,12,0,10,10,0
9,35,2,1,1,158,60,13,5,6,55,2,45,4,3,1,23,50,0,16,7,2,2,18,1,29,10,4,17,0,10,10,1
9,39,1,5,4,168,72,11,5,3,62,4,58,4,4,3,23,35,10,19,3,1,1,21.55405,2.6724489,22.825521,8,4,12,0,6,5,-3
9,27,1,7,4,168,90,21,5,6,48,2,55,4,2,1,22,20,1,22,8,2,2,21.55405,2.6724489,22.825521,8,4,15,0,10,10,1
10,35,2,7,8,165,70,15,3,6,54,6,53,5,4,2,18,72,13,22,6,1,3,22,3,29,9,4,15,0,10,10,0
2,40,1,11,4,165,98,32,2,1,72,2,60,2,2,2,23,14,22,8,2,0,2,15,2,26,6,5,15,0,2,1,0
4,25,2,5,4,155,59,7,5,2,60,2,50,2,3,2,16.588694,25,0,25,4,0,1,21.55405,1,23,8,5,6,0,1,1,-3
3,45,1,2,2,175,85,15,3,2,67,2,67,2,3,1,19,72,20,19,3,0,1,32,2,33,6,4,12,0,6,5,3
10,25,2,1,1,150,57,19,3,5,47,8,46,5,3,3,21,48,1,23,7,1,1,21.55405,2.6724489,22.825521,9,1,11,0,10,10,0
4,57,1,5,4,165,68,28,3,2,75,2,90,2,5,4,7,60,40,17,4,0,3,27,3,32,6,1,1,0,4,1,0
4,47,1,1,1,165,85,9,1,3,79,98,79,98,3,2,15,45,28,20,4,0,2,25,2,27,7,4,9,0,6,5,2
9,28,1,9,8,168,75,9,1,7,58,11,53,6,3,2,18,50,7,18,6,2,2,21,1,22,6,4,12,0,10,10,1
3,59,1,1,1,175,82,30,5,2,84,2,72,2,4,1,13,70,8,15,2,0,1,22,1,49,7,5,6,0,2,1,-1
1,57,2,5,4,160,75,10,5,3,97,2,90,2,12,11,15,48,2,20,3,1,1,18,5,20,8,2,3,0,3,1,2
7,28,1,8,1,178,85,16,2,6,66,2,57,2,4,4,22,48,0,22,3,0,1,23,1,24,8,3,17,0,8,9,1
10,36,2,3,3,157,55,15,1,4,63,4,69,4,3,2,23,40,10,26,7,2,2,28,1,29,11,4,17,0,10,10,0
9,35,1,2,2,160,84,9,3,2,52,6,51,2,4,3,34,30,3,14,3,0,2,25,2,27,6,4,12,0,6,5,-3
8,30,1,7,8,180,89,2,2,5,60,6,57,7,3,3,17,50,5,17,7,3,2,20,2,24,7,1,10,0,10,10,2
8,31,2,5,4,167,95,9,2,5,55,2,54,4,2,2,18,15,2,19,5,1,3,21.55405,1,30,7,4,9,0,8,9,0
10,28,2,7,1,175,65,9,3,5,66,12,63,11,2,2,23,45,3,24,6,3,3,21.55405,1,21,8,4,17,0,10,10,0
10,41,2,3,3,158,60,15,1,5,71,6,75,4,5,3,18,40,20,22,4,2,2,21,3,21,11,4,15,0,10,10,0
6,30,1,1,1,163,70,9,2,4,51,4,50,4,2,1,14,54,7,18,4,0,1,20,1,21,7,4,9,0,6,5,0
10,39,1,2,2,179,85,9,1,7,65,11,63,10,3,2,22,40,2,30,7,2,1,30,2,31,8,4,17,0,10,10,0
5,40,2,1,1,158,55,11,3,6,71.321976,2,67.737869,4,4,3,16,7,11,25,5,0,1,21.55405,2.6724489,22.825521,8,4,9,0,8,9,3
5,56,2,8,8,160,70,11,2,6,71.321976,11,72,2,8,1,24,4,2,14,4,0,2,21.55405,1,32,6,4,18,0,9,10,4
5,36,2,5,4,158,68,11,3,2,68,2,65,2,1,1,15,7,15,21,3,1,1,21.55405,2.6724489,22.825521,7,4,9,0,6,5,1
2,25,1,8,8,167,60,11,2,3,50,2,49,2,3,3,16,48,15,15,4,0,2,21.55405,2.6724489,22.825521,7,4,9,0,6,5,4
10,27,2,2,2,159,67,5,4,5,56,12,56,10,3,2,27,48,7,20,5,6,4,21.55405,2.6724489,22.825521,8,1,19,0,10,10,0
9,35,1,1,1,160,70,14,4,4,51,10,52,6,5,1,16.588694,40,1,8,4,1,2,21.55405,2.6724489,22.825521,8,3,16,0,9,10,0
6,30,2,5,4,168,67,8,2,5,48,11,49,11,3,1,19,48,5,25,4,1,1,18,2,19,8,1,12,0,9,10,3
10,41,1,7,6,155,75,15,3,4,71,4,70,3,5,3,22,60,23,18,4,1,2,21.55405,2.6724489,22.825521,6,4,12,1,10,10,0
7,35,2,8,8,160,60,15,4,4,60,4,61,5,3,2,18,60,0,23,4,0,3,18,2,19,8,4,9,0,6,5,-1
10,26,1,8,8,170,65,15,1,3,55,2,53,2,4,4,26,48,2,17,3,0,4,22,2.6724489,22.825521,6,4,11,0,3,1,-7
10,42,2,7,4,158,52,9,1,6,73,4,74,7,2,1,23,20,0,14,6,0,1,21.55405,1,28,10,4,16,0,9,10,-1
2,29,1,1,1,160,58,19,1,2,56,2,57,3,4,3,15,149,14,13,4,0,1,20,4,22,8,1,9,0,6,5,4
10,38,2,7,1,165,58,15,2,5,67,6,61,6,3,2,23,40,13,24,4,2,2,26,1,29,8,4,17,0,10,10,0
5,33,2,1,1,155,70,11,3,5,52,4,51,4,3,1,16.588694,8,3,26,3,0,2,21.55405,1,22,7,4,12,0,8,9,3
3,41,2,5,8,145,58,31,4,7,77,2,76,2,5,4,15,48,13,20,3,0,2,16,2,17,7,5,9,0,6,5,3
4,45,1,5,4,163,86,20,3,4,80,2,78,2,2,1,19,40,20,20,3,0,2,27,2,29,9,5,11,0,4,1,0
8,54,1,1,1,168,80,9,4,4,82,2,80,2,3,2,14,70,10,15,5,1,1,20,2,27,7,4,9,1,9,10,1
3,34,2,1,1,148,60,28,5,1,59,2,54,2,3,1,16,40,1,14,1,0,2,28,2,18,7,1,11,0,2,1,-1
2,25,1,4,4,175,78,25,3,4,60,2,57,4,5,4,23,48,3,12,2,0,1,20,2,21,9,2,16,0,2,1,0
3,33,1,4,4,160,70,7,5,3,67,2,55,2,3,3,16,48,15,12,2,0,1,16,4,17,9,5,9,0,1,1,-2
1,43,1,4,4,165,100,30,3,1,69,2,67,2,7,4,14,30,25,25,1,0,1,30,2,32,6,5,8,0,1,1,0
4,25,2,7,8,155,65,15,4,4,52,2,50,2,3,2,17,6,0,17,8,0,2,17,2,17,8,4,9,0,6,5,2
2,44,2,6,1,158,64,14,5,5,72,2,69,2,11,5,37,46,19,16,5,0,2,21.55405,1,38,4,3,16,0,9,10,7
10,31,1,1,1,163,72,15,4,3,60,2,60,2,5,4,18,45,3,20,4,0,1,23,1,25,8,4,16,1,6,5,-4
9,49,2,1,1,153,51,22,4,6,80,2,77,2,6,2,25,25,17,18,6,0,2,21.55405,2.6724489,22.825521,6,4,17,0,9,10,0
1,54,1,5,4,178,74,17,5,4,92,2,81,2,7,4,21,48,47,25,4,0,1,21,1,22,7,4,11,0,6,5,5
2,26,2,4,4,157,67,13,5,6,51,4,48,6,4,1,23,24,0,15,4,1,2,24,1,25,8,4,16,0,6,5,4
8,26,2,7,4,150,55,21,4,5,55,11,52,4,3,2,16.588694,20,0,26,5,0,2,26,1,26,8,4,16,0,8,9,0
2,29,1,5,8,160,65,10,3,2,71,2,62,2,5,5,12,48,17,15,3,1,1,24,1,24,6,2,9,0,6,5,4
4,28,1,4,8,173,78,27,5,2,64,4,64,2,2,2,16,60,1,17,3,0,2,17,3,18,6,5,9,0,2,1,-2
9,44,1,7,1,175,70,14,3,5,73,2,67.737869,2,6,5,14,20,27,14,4,2,2,24,2,25,7,3,9,0,9,10,0
6,25,1,1,1,170,71,19,1,3,45,3,43,2,3,3,15,23,2,25,2,1,1,21.55405,2.6724489,22.825521,8,1,12,0,6,5,0
7,30,2,1,1,160,110,5,5,5,53,4,54,4,3,2,17,48,4,16,5,2,2,21.55405,2.6724489,22.825521,2,1,12,0,9,10,2
3,60,2,5,4,148,49,9,2,1,71.321976,6,85,2,5,2,20,21,0,23,2,0,2,26,3,26,7,4,9,0,6,5,3
10,26,1,1,1,165,50,11,3,5,57,6,54,6,2,1,24,10,2,25,3,1,1,21.55405,2.6724489,22.825521,11,4,18,0,10,10,0
6,36,1,7,4,178,90,16,5,4,63,2,64,2,4,1,13,65,1,14,4,1,1,20,1,21,5,3,6,0,6,5,0
7,32,1,1,1,172,80,26,5,3,55,3,50,3,4,1,15,56,7,19,3,1,1,20,2,21,6,1,9,0,4,1,-3
9,44,2,5,4,155,65,8,3,4,78,2,70,2,3,2,17,15,1,42,5,2,2,18,2,21,8,1,11,0,10,10,1
5,33,2,1,1,155,70,11,3,5,52,4,51,4,3,1,16.588694,8,3,26,3,0,2,21.55405,1,22,7,4,12,0,8,9,3
10,34,1,1,1,175,80,14,5,4,63,2,60,2,6,2,24,48,0,15,3,1,1,27,1,29,8,3,15,0,8,9,-2
8,45,2,4,8,165,67,14,2,4,78,2,75,2,11,7,13,25,31,14,4,1,1,18,4,20,6,3,6,0,4,1,-4
9,37,1,1,1,168,80,9,1,3,60,12,60,2,2,2,23,48,1,23,5,0,1,28,2.6724489,22.825521,8,4,16,0,10,10,1
9,28,2,1,1,158,62,30,5,4,62,6,50,11,3,1,25,20,5,23,5,0,3,24,1,24,5,5,16,0,9,10,0
